# lane,0,0,200,0
# obstacle,100,0,2.0,2.0
t,true_x,true_y,true_yaw,est_x,est_y,est_yaw,v,throttle,brake,steer,n_obj,obj_x,obj_y
7.90,49.694,0.152,0.0091,48.547,-0.015,0.0020,8.506,0.000,0.005,-0.0002,1,100.000,-0.000
8.00,50.542,0.159,0.0081,49.410,0.005,0.0053,8.576,0.000,0.033,-0.0032,1,100.000,0.000
8.10,51.390,0.165,0.0067,50.259,0.019,0.0059,8.528,0.000,0.010,-0.0043,1,100.000,-0.000
8.20,52.238,0.169,0.0054,51.115,0.026,0.0055,8.545,0.000,0.023,-0.0044,1,100.000,-0.000
8.30,53.083,0.172,0.0035,51.975,0.044,0.0065,8.573,0.000,0.031,-0.0059,1,100.000,0.000
8.40,53.929,0.173,0.0002,52.851,0.093,0.0077,8.500,0.000,0.005,-0.0106,1,100.000,0.000
8.50,54.774,0.170,-0.0027,53.699,0.103,0.0051,8.492,0.000,0.013,-0.0094,1,100.000,-0.000
8.60,55.620,0.166,-0.0053,54.540,0.111,0.0028,8.449,0.000,0.001,-0.0083,1,100.000,0.000
8.70,56.465,0.160,-0.0072,55.381,0.109,-0.0008,8.426,0.000,0.000,-0.0059,1,100.000,0.000
8.80,57.310,0.152,-0.0092,56.218,0.120,-0.0008,8.395,0.012,0.000,-0.0063,1,100.000,0.000
8.90,58.155,0.142,-0.0113,57.071,0.132,-0.0007,8.469,0.000,0.023,-0.0069,1,100.000,-0.000
9.00,58.999,0.132,-0.0120,57.939,0.105,-0.0079,8.426,0.000,0.001,-0.0022,1,100.000,0.000
9.10,59.842,0.121,-0.0131,58.791,0.113,-0.0061,8.478,0.000,0.024,-0.0036,1,100.000,-0.000
9.20,60.685,0.109,-0.0149,59.632,0.125,-0.0036,8.442,0.000,0.007,-0.0056,1,100.000,0.000
9.30,61.528,0.096,-0.0149,60.478,0.097,-0.0100,8.451,0.000,0.016,-0.0001,1,100.000,-0.000
9.40,62.369,0.083,-0.0153,61.327,0.099,-0.0081,8.469,0.000,0.022,-0.0012,1,100.000,-0.000
9.50,63.211,0.070,-0.0157,62.163,0.098,-0.0075,8.413,0.000,0.002,-0.0013,1,100.000,-0.000
9.60,64.053,0.058,-0.0140,62.992,0.047,-0.0143,8.330,0.033,0.000,0.0054,1,100.000,0.000
9.70,64.895,0.047,-0.0130,63.830,0.046,-0.0105,8.359,0.000,0.004,0.0032,1,100.000,-0.000
9.80,65.737,0.037,-0.0121,64.661,0.038,-0.0092,8.334,0.014,0.000,0.0030,1,100.000,-0.000
9.90,66.581,0.027,-0.0125,65.479,0.055,-0.0035,8.250,0.061,0.000,-0.0013,1,100.000,0.000
10.00,67.424,0.016,-0.0126,66.318,0.050,-0.0044,8.324,0.000,0.005,-0.0004,1,100.000,0.000
10.10,68.266,0.005,-0.0127,67.168,0.047,-0.0042,8.419,0.000,0.028,-0.0004,1,100.000,-0.000
10.20,69.108,-0.005,-0.0123,68.041,0.026,-0.0054,8.372,0.000,0.001,0.0015,1,100.000,0.000
10.30,69.950,-0.014,-0.0108,68.879,0.003,-0.0085,8.376,0.000,0.009,0.0048,1,100.000,0.000
10.40,70.791,-0.021,-0.0083,69.721,-0.024,-0.0108,8.400,0.000,0.018,0.0078,1,100.000,0.000
10.50,71.632,-0.027,-0.0068,70.560,-0.020,-0.0061,8.398,0.000,0.015,0.0047,1,100.000,-0.000
10.60,72.471,-0.033,-0.0067,71.410,-0.002,-0.0006,8.451,0.000,0.034,0.0005,1,100.000,-0.000
10.70,73.310,-0.037,-0.0056,72.245,-0.022,-0.0041,8.401,0.000,0.012,0.0035,1,100.000,-0.000
10.80,74.146,-0.041,-0.0048,73.129,-0.004,-0.0041,8.446,0.000,0.055,0.0025,1,100.000,0.000
10.90,74.980,-0.045,-0.0045,73.956,0.000,-0.0017,8.353,0.000,0.074,0.0010,1,100.000,0.000
11.00,75.808,-0.049,-0.0046,74.787,0.006,-0.0001,8.328,0.000,0.120,-0.0003,1,100.000,0.000
11.10,76.632,-0.052,-0.0040,75.601,-0.007,-0.0027,8.230,0.000,0.134,0.0020,1,100.000,0.000
11.20,77.450,-0.055,-0.0033,76.425,-0.015,-0.0028,8.233,0.000,0.124,0.0024,1,100.000,0.000
11.30,78.261,-0.057,-0.0026,77.247,-0.019,-0.0025,8.230,0.000,0.193,0.0025,1,100.000,0.000
11.40,79.063,-0.058,-0.0007,78.103,-0.065,-0.0047,8.165,0.000,0.219,0.0062,1,100.000,0.000
11.50,79.855,-0.056,0.0014,78.905,-0.074,-0.0041,8.082,0.000,0.248,0.0073,1,100.000,0.000
11.60,80.635,-0.054,0.0035,79.706,-0.085,-0.0033,8.043,0.000,0.296,0.0072,1,100.000,-0.000
11.70,81.406,-0.050,0.0054,80.488,-0.091,-0.0022,7.925,0.000,0.238,0.0067,1,100.000,0.000
11.80,82.164,-0.044,0.0080,81.264,-0.106,-0.0030,7.839,0.000,0.305,0.0093,1,100.000,0.000
11.90,82.910,-0.036,0.0107,82.020,-0.122,-0.0026,7.695,0.000,0.324,0.0097,1,100.000,-0.000
12.00,83.639,-0.027,0.0118,82.797,-0.073,0.0012,7.671,0.000,0.391,0.0040,1,100.000,-0.000
12.10,84.354,-0.018,0.0130,83.530,-0.080,0.0006,7.485,0.000,0.393,0.0045,1,100.000,0.000
12.20,85.054,-0.009,0.0129,84.253,-0.055,0.0066,7.346,0.000,0.343,-0.0002,1,100.000,0.000
12.30,85.737,-0.001,0.0119,84.975,-0.032,0.0103,7.278,0.000,0.435,-0.0040,1,100.000,-0.000
12.40,86.401,0.007,0.0111,85.684,-0.029,0.0085,7.181,0.000,0.479,-0.0033,1,100.000,-0.000
12.50,87.048,0.013,0.0098,86.368,-0.011,0.0100,7.003,0.000,0.401,-0.0055,1,100.000,0.000
12.60,87.678,0.019,0.0086,87.013,-0.022,0.0104,6.777,0.000,0.458,-0.0048,1,100.000,-0.000
